gene	monte_carlo_iterations	top10_probability	top20_probability	top30_probability	median_rank	rank_p2_5	rank_p97_5
COL6A1	5000	0.0	0.0	0.0	144.0	75.0	252.0
ITGB2	5000	0.0	0.0	0.0	146.0	57.0	296.0
PTPRK	5000	0.0	0.0	0.0	147.0	49.0	225.0
WWTR1	5000	0.0	0.0	0.0	147.0	83.0	214.0
EDIL3	5000	0.0	0.0	0.0	148.0	45.97500000000001	224.02499999999964
TM4SF1	5000	0.0	0.0	0.0	150.0	93.0	223.0
SLC16A10	5000	0.0	0.0	0.0	152.0	122.0	210.0
PLEKHG1	5000	0.0	0.0	0.0	152.0	117.0	210.0
SYTL3	5000	0.0	0.0	0.0	160.0	97.0	224.0
PFKFB3	5000	0.0	0.0	0.0	162.0	50.0	295.02499999999964
FRZB	5000	0.0	0.0	0.0	162.0	91.0	271.0
DCBLD2	5000	0.0	0.0	0.0	166.0	86.0	269.0
COL14A1	5000	0.0	0.0	0.0	168.0	49.0	314.0
ACTA2	5000	0.0	0.0	0.0	168.0	101.0	274.0
PTPRB	5000	0.0	0.0	0.0	169.0	106.0	248.0
ANO2	5000	0.0	0.0	0.0	169.0	60.0	374.0
S100A8	5000	0.0	0.0	0.0	170.0	98.0	261.0
LGMN	5000	0.0	0.0	0.0	171.0	71.0	308.0
HAMP	5000	0.0	0.0	0.0	171.0	64.0	345.02499999999964
CD163	5000	0.0	0.0	0.0	172.0	54.0	321.0
CLDN5	5000	0.0	0.0	0.0	173.0	125.0	262.0
SERPINH1	5000	0.0	0.0	0.0	174.0	78.0	304.0
CPE	5000	0.0	0.0	0.0	174.0	55.0	384.0
CD2	5000	0.0	0.0	0.0	176.0	85.0	304.0
MECOM	5000	0.0	0.0	0.0	176.0	88.0	304.0
ENPEP	5000	0.0	0.0	0.0	178.0	72.0	310.0
ARHGAP42	5000	0.0	0.0	0.0	179.5	59.0	329.0
CTSL	5000	0.0	0.0	0.0	181.0	83.0	322.0
SLC40A1	5000	0.0	0.0	0.0	183.0	117.0	272.0
ATP1B3	5000	0.0	0.0	0.0	186.0	89.0	260.0
CDC42SE2	5000	0.0	0.0	0.0	187.0	67.0	319.02499999999964
ISLR	5000	0.0	0.0	0.0	187.0	61.0	372.0
SELL	5000	0.0	0.0	0.0	190.0	73.0	288.0
ABCC9	5000	0.0	0.0	0.0	190.0	148.0	244.0
GZMA	5000	0.0	0.0	0.0	191.0	92.0	313.0
C1R	5000	0.0	0.0	0.0	192.0	59.0	299.0
CXCL8	5000	0.0	0.0	0.0	194.0	161.0	230.0
CRYAB	5000	0.0	0.0	0.0	194.0	78.0	343.02499999999964
FCGR2A	5000	0.0	0.0	0.0	194.0	111.0	325.0
