gene	universe_source	reconstruction_status
CTHRC1	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
CTSB	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
CTSD	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
CTSL	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
CTSS	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
CXCL8	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
CYBB	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
CYGB	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
CYTOR	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
DAB2	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
DCBLD2	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
DCN	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
DKK3	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
DLC1	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
DMTN	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
DOCK4	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
DOCK9	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
DPYSL3	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
DSTN	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
DUSP1	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
EBF1	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
EBF2	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
ECSCR	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
EDIL3	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
EDNRA	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
EEF1A1	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
EFEMP1	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
EGFL7	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
ELL2	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
ENO1	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
ENPEP	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
